Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Kuwait,KWT,..,..,..,..,..,4.55,4.55,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Kyrgyz Republic,KGZ,..,..,5.79,5.662,..,..,5.662,5.822,6.123,6.221,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Lao PDR,LAO,..,..,..,..,..,0.823,0.966,..,0.876,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Latvia,LVA,..,..,5.59,5.652,..,..,4.859,4.73,3.435,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Lebanon,LBN,..,..,..,..,..,2.23,2.23,2.72,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Liberia,LBR,..,..,..,..,0.274,..,0.274,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Libya,LBY,..,..,..,..,..,6.8,6.8,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Lithuania,LTU,..,..,7.65,7.567,7.32,..,7.064,7.17,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Luxembourg,LUX,..,..,11.32,..,..,..,0.363,17.095,12.466,12.611,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"Macedonia, FYR",MKD,..,..,4.34,..,0.612,..,0.612,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Malawi,MWI,..,..,..,..,0.283,0.343,0.283,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Malaysia,MYS,..,..,..,..,2.731,..,3.276,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Maldives,MDV,..,..,..,4.448,..,..,5.035,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mali,MLI,..,..,..,0.201,0.297,..,0.43,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Malta,MLT,..,..,5.98,6.272,..,..,6.905,7.062,7.09,7.492,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Marshall Islands,MHL,..,2.98,..,..,2.53,..,1.74,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mauritania,MRT,..,..,..,..,..,0.672,0.672,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mexico,MEX,..,0.9,..,..,..,..,..,2.529,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,3.319,3.319,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Moldova,MDA,..,..,6.2,6.65,..,..,6.605,6.495,6.492,6.396,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Monaco,MCO,..,..,..,..,..,..,..,17.217,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mongolia,MNG,..,..,..,..,3.499,..,3.499,3.622,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Montenegro,MNE,..,..,5.65,5.54,..,..,5.505,5.249,..,5.414,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Morocco,MAR,..,..,..,..,..,0.89,0.89,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mozambique,MOZ,..,..,0.31,..,0.341,..,0.341,..,0.412,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Myanmar,MMR,..,..,..,..,0.798,..,0.856,..,1.003,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Namibia,NAM,..,..,..,2.775,..,..,2.775,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Netherlands,NLD,..,..,14.61,15.145,8.382,..,..,8.382,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,New Zealand,NZL,..,..,..,10.87,..,..,10.87,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,1.358,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Niger,NER,..,..,..,..,0.137,..,0.137,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Nigeria,NGA,..,..,..,..,1.605,..,1.605,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Norway,NOR,..,..,16.22,16.329,14.76,..,15.407,13.399,17.269,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Oman,OMN,..,..,..,3.896,4.112,..,4.494,5.003,5.381,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Pakistan,PAK,..,..,..,0.381,..,0.557,0.573,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Palau,PLW,..,..,5.9,..,..,..,5.714,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Panama,PAN,..,2.765,..,..,..,..,..,2.402,..,1.402,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Papua New Guinea,PNG,..,0.53,..,..,0.457,..,0.565,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Paraguay,PRY,..,..,..,..,..,..,..,..,1.001,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Peru,PER,..,..,..,..,..,1.271,1.271,..,1.514,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Poland,POL,..,..,5.187,..,5.73,..,5.395,5.837,6.159,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Portugal,PRT,..,..,4.832,..,5.331,..,5.331,..,6.113,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Qatar,QAT,..,..,7.372,..,..,..,11.874,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Romania,ROM,..,..,4.19,..,..,..,5.456,5.511,5.615,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Russian Federation,RUS,..,..,8.519,..,..,..,8.5191,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Rwanda,RWA,..,..,..,..,..,..,0.689,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Samoa,WSM,..,..,..,..,1.851,..,1.851,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,San Marino,SMR,95.48,..,..,..,..,..,..,8.318,8.889,8.831,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Saudi Arabia,SAU,..,..,..,3.632,2.098,2.341,2.098,..,4.867,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Senegal,SEN,..,..,..,..,0.42,..,0.42,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Serbia,SRB,..,..,4.28,4.43,..,..,4.549,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Seychelles,SYC,..,..,..,..,..,..,..,..,4.808,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sierra Leone,SLE,..,..,..,..,0.168,..,0.166,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Singapore,SGP,..,..,..,..,..,..,6.392,..,..,5.76,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Slovak Republic,SVK,..,..,..,..,6.58,..,0.328,..,6.066,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Slovenia,SVN,..,..,7.813,..,8.16,..,8.612,8.459,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Solomon Islands,SLB,..,..,..,..,..,2.053,2.053,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Somalia,SOM,..,..,0.114,..,..,..,0.114,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,South Africa,ZAF,..,..,..,..,..,..,..,..,4.902,5.114,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Spain,ESP,..,..,7.58,..,..,..,5.11,..,5.076,5.665,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sri Lanka,LKA,..,..,..,1.93,..,..,1.641,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,St. Kitts and Nevis,KNA,..,4.7142,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,St. Vincent and the Grenadines,VCT,..,3.7881,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sudan,SDN,..,..,0.9,..,0.84,..,0.84,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Suriname,SUR,..,1.62,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Swaziland,SWZ,..,..,..,..,..,1.602,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Sweden,SWE,..,..,11.57,11.048,11.861,..,11.861,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Switzerland,CHE,..,11.03,..,..,15.96,..,17.485,17.359,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Syrian Arab Republic,SYR,..,..,1.4,..,1.86,..,1.869,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Tajikistan,TJK,..,..,5.03,..,..,..,5.301,4.476,..,5.018,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Tanzania,TZA,..,..,0.242,..,..,..,0.242,..,0.436,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Thailand,THA,..,2.83,..,..,..,..,2.077,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Timor-Leste,TMP,..,..,..,..,..,..,..,1.112,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Togo,TGO,..,..,..,..,0.274,..,0.274,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Tonga,TON,..,..,..,2.93,..,..,3.883,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Trinidad and Tobago,TTO,..,..,..,3.562,..,..,3.562,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Tunisia,TUN,..,..,..,..,..,3.28,3.28,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Turkey,TUR,..,..,2.93,..,1.89,..,0.64,2.402,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Turkmenistan,TKM,..,..,4.7,4.52,..,..,4.424,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Tuvalu,TUV,..,..,..,..,5.818,..,5.818,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Uganda,UGA,..,..,..,..,..,..,1.306,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Ukraine,UKR,..,..,8.45,..,..,..,8.593,6.406,7.599,7.67,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,United Arab Emirates,ARE,..,..,..,4.09,..,..,4.09,3.16,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,United Kingdom,GBR,..,..,..,..,..,..,10.133,9.472,8.826,8.801,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,United States,USA,..,9.37,..,..,..,..,9.815,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Uruguay,URY,..,..,..,..,5.548,..,5.548,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Uzbekistan,UZB,..,..,..,10.81,..,..,10.684,..,11.974,11.938,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Vanuatu,VUT,..,..,..,..,1.696,..,1.696,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Vietnam,VNM,..,..,..,..,1.006,..,1.006,1.137,..,1.236,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,West Bank and Gaza,WBG,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,"Yemen, Rep.",YEM,..,..,..,..,..,..,0.677,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Zambia,ZMB,..,..,0.706,..,..,..,0.784,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Zimbabwe,ZWE,..,..,..,..,..,1.251,..,1.335,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Afghanistan,AFG,0.1092000008,..,..,..,..,..,0.194,0.234,..,0.266,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Albania,ALB,1.3740999699,1.389,1.15,1.146,..,..,1.153,1.113,1.145,1.145,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Algeria,DZA,0.9416000247,..,..,1.207,..,..,1.207,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Andorra,ADO,..,2.549,3.64,3.716,..,3.912,4,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Angola,AGO,0.0421000011,..,..,..,..,0.166,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Antigua and Barbuda,ATG,0.7599999905,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Argentina,ARG,2.6800000668,..,..,..,..,..,3.21,..,..,3.859,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Armenia,ARM,3.9244000912,2.987,3.7,3.697,..,..,3.762,2.845,2.687,2.698,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Australia,AUS,2.2,2.5,0.963,..,..,..,3.851,3.273,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Austria,AUT,2.2,3.2,3.66,3.794,..,..,4.862,4.83,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Azerbaijan,AZE,3.9172000885,3.607,3.63,3.794,..,..,3.782,3.379,3.432,3.402,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Bahamas, The",BHS,1.2900999784,..,..,..,2.818,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bahrain,BHR,..,..,..,2.965,1.442,..,1.489,0.913,0.915,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bangladesh,BGD,0.176699996,..,..,0.295,..,..,0.295,0.356,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Barbados,BRB,1.1395000219,..,..,..,..,..,1.811,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belarus,BLR,3.5604000092,4.579,4.78,4.869,4.98,..,5.178,3.756,..,3.925,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belgium,BEL,3.3,3.9,4.23,..,2.987,..,3.782,2.993,..,4.887,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Belize,BLZ,0.6391999722,1.05,..,..,..,0.828,0.828,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Benin,BEN,0.0505000018,..,..,..,0.059,..,0.059,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bhutan,BTN,0.3332999945,..,..,0.023,0.074,..,0.023,..,0.259,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bolivia,BOL,0.4499999881,..,..,..,..,..,..,0.473,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bosnia and Herzegovina,BIH,1.570299983,1.422,..,..,..,..,1.694,..,..,1.93,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Botswana,BWA,..,..,0.336,..,..,0.399,0.336,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Brazil,BRA,1.3600000143,1.15,1.694,1.72,1.764,..,1.764,..,..,1.891,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Brunei Darussalam,BRN,..,1.006,..,..,1.417,..,1.36,1.498,1.443,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bulgaria,BGR,3.1696000099,3.399,3.66,3.665,3.635,..,3.76,3.812,3.866,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Burkina Faso,BFA,..,..,..,..,0.064,..,0.047,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Burundi,BDI,0.0581,0.052,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cabo Verde,CPV,..,..,..,..,0.572,..,0.295,0.306,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cambodia,KHM,..,0.16,..,..,0.227,..,0.23,..,0.169,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cameroon,CMR,0.0824000016,..,..,..,..,0.077,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Canada,CAN,2.1,2.1,1.9132,..,1.975,..,2.068,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cayman Islands,CYM,1.7000000477,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Central African Republic,CAF,0.0384000018,..,..,..,..,0.048,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Chad,TCD,..,..,0.037,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Chile,CHL,1.1000000238,..,1.28369704749679,..,..,1.024,1.026,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,China,CHN,1.56,1.68,1.6,1.61,1.66,1.75,1.8,1.83,1.94,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Colombia,COL,1.0900000334,1.32,1.41,1.42,1.43,..,1.471,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Comoros,COM,0.1133999974,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Congo, Dem. Rep.",ZAR,0.0661000013,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Congo, Rep.",COG,0.2761000097,..,..,0.095,..,..,0.095,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Costa Rica,CRI,1.2599999905,1.325,..,..,..,..,..,..,..,1.113,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cote d'Ivoire,CIV,0.0877000019,..,..,..,0.144,..,0.144,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Croatia,HRV,2.1247000694,2.383,2.47,2.59,2.66117938888262,..,2.715,2.842,3,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cuba,CUB,3.6414000988,5.897,..,6.399,..,..,6.723,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Cyprus,CYP,1.7605999708,2.983,2.3,..,2.584,..,2.753,2.286,2.329,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Czech Republic,CZE,2.7,3.4,3.58,3.61,3.625,..,3.708,3.624,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Denmark,DNK,2.5,2.8,3.163,3.419,..,3.424,3.485,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Djibouti,DJI,0.162499994,..,0.229,..,..,..,0.229,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Dominica,DMA,0.4600000083,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Dominican Republic,DOM,1.4900000095,1.876,..,..,..,..,..,1.49,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Ecuador,ECU,1.5332000256,1.48,..,..,..,1.687,1.687,1.724,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Egypt, Arab Rep.",EGY,0.7595000267,2.118,..,..,..,2.83,2.83,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,El Salvador,SLV,0.8399999738,1.211,1.5,..,1.596,..,1.596,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Equatorial Guinea,GNQ,0.2813000083,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Estonia,EST,3.5037999153,4.475,3.33,..,3.409,..,3.343,3.261,3.242,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Ethiopia,ETH,..,0.021,..,0.022,..,0.025,0.022,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Fiji,FJI,..,..,..,..,..,0.426,0.426,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Finland,FIN,2,2.6,3.3,3.319,2.735,2.905,2.905,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,France,FRA,3.1,3.3,3.41,3.736,3.497,..,3.447,3.381,3.18,3.19,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,French Polynesia,PYF,..,1.697,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Gambia, The",GMB,..,..,..,..,0.107,..,0.038,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Georgia,GEO,4.9256000519,4.731,4.65,4.538,..,..,4.762,4.243,4.236,4.272,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Germany,DEU,..,3.3,3.44,3.483,3.531,..,3.689,3.806,3.889,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Ghana,GHA,..,..,..,..,0.11,0.085,0.096,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Greece,GRC,3.4,4.3,5.35,..,6.043,..,6.167,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Grenada,GRD,0.5,..,0.663,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Guatemala,GTM,0.7799999714,..,..,..,..,0.932,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Guinea,GIN,0.1342999935,0.094,..,..,..,..,0.1,..,..,..,..,..
